v8-version,4,9,385,35,0
code-creation,Builtin,4,0x1af65b1ad00,119,"DatePrototypeToDateString"
code-creation,Builtin,4,0x1af65b1ad80,119,"DatePrototypeToISOString"
code-creation,Builtin,4,0x1af65b1ae00,119,"DatePrototypeToPrimitive"
code-creation,Builtin,4,0x1af65b1ae80,119,"DatePrototypeToUTCString"
code-creation,Builtin,4,0x1af65b1af00,119,"DatePrototypeToString"
code-creation,Builtin,4,0x1af65b1af80,119,"DatePrototypeToTimeString"
code-creation,Builtin,4,0x1af65b1b000,119,"DatePrototypeValueOf"
code-creation,Builtin,4,0x1af65b1b080,119,"DatePrototypeGetYear"
code-creation,Builtin,4,0x1af65b1b100,119,"DatePrototypeSetYear"
code-creation,Builtin,4,0x1af65b1b180,125,"FunctionConstructor"
code-creation,Builtin,4,0x1af65b1b200,119,"FunctionPrototypeBind"
code-creation,Builtin,4,0x1af65b1b280,119,"FunctionPrototypeToString"
code-creation,Builtin,4,0x1af65b1b300,125,"GeneratorFunctionConstructor"
code-creation,Builtin,4,0x1af65b1b380,124,"GlobalEval"
code-creation,Builtin,4,0x1af65b1b400,119,"ObjectAssign"
code-creation,Builtin,4,0x1af65b1b480,119,"ObjectCreate"
code-creation,Builtin,4,0x1af65b1b500,119,"ObjectFreeze"
code-creation,Builtin,4,0x1af65b1b580,119,"ObjectIsExtensible"
code-creation,Builtin,4,0x1af65b1b600,119,"ObjectIsFrozen"
code-creation,Builtin,4,0x1af65b1b680,119,"ObjectIsSealed"
code-creation,Builtin,4,0x1af65b1b700,119,"ObjectKeys"
code-creation,Builtin,4,0x1af65b1b780,119,"ObjectPreventExtensions"
code-creation,Builtin,4,0x1af65b1b800,119,"ObjectSeal"
code-creation,Builtin,4,0x1af65b1b880,119,"ObjectProtoToString"
code-creation,Builtin,4,0x1af65b1b900,119,"ProxyConstructor"
code-creation,Builtin,4,0x1af65b1b980,124,"ProxyConstructor_ConstructStub"
code-creation,Builtin,4,0x1af65b1ba00,119,"ReflectDefineProperty"
code-creation,Builtin,4,0x1af65b1ba80,119,"ReflectDeleteProperty"
code-creation,Builtin,4,0x1af65b1bb00,119,"ReflectGet"
code-creation,Builtin,4,0x1af65b1bb80,119,"ReflectGetOwnPropertyDescriptor"
code-creation,Builtin,4,0x1af65b1bc00,119,"ReflectGetPrototypeOf"
code-creation,Builtin,4,0x1af65b1bc80,119,"ReflectHas"
code-creation,Builtin,4,0x1af65b1bd00,119,"ReflectIsExtensible"
code-creation,Builtin,4,0x1af65b1bd80,119,"ReflectOwnKeys"
code-creation,Builtin,4,0x1af65b1be00,119,"ReflectPreventExtensions"
code-creation,Builtin,4,0x1af65b1be80,119,"ReflectSet"
code-creation,Builtin,4,0x1af65b1bf00,119,"ReflectSetPrototypeOf"
code-creation,Builtin,4,0x1af65b1bf80,119,"SymbolConstructor"
code-creation,Builtin,4,0x1af65b1c000,124,"SymbolConstructor_ConstructStub"
code-creation,Builtin,4,0x1af65b1c080,124,"HandleApiCall"
code-creation,Builtin,4,0x1af65b1c100,124,"HandleApiCallConstruct"
code-creation,Builtin,4,0x1af65b1c180,119,"HandleApiCallAsFunction"
code-creation,Builtin,4,0x1af65b1c200,119,"HandleApiCallAsConstructor"
code-creation,Builtin,4,0x1af65b1c280,119,"RestrictedFunctionPropertiesThrower"
code-creation,Builtin,4,0x1af65b1c300,119,"RestrictedStrictArgumentsPropertiesThrower"
code-creation,Builtin,4,0x1af65b1c380,419,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,4,0x1af65b1c540,150,"ConstructedNonConstructable"
code-creation,Builtin,4,0x1af65b1c5e0,302,"CallFunction_ReceiverIsNullOrUndefined"
code-creation,Stub,2,0x1af65b1c720,426,"ToObjectStub"
code-creation,Builtin,4,0x1af65b1c8e0,378,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,4,0x1af65b1ca60,403,"CallFunction_ReceiverIsAny"
code-creation,Builtin,4,0x1af65b1cc00,254,"CallBoundFunction"
code-creation,Builtin,4,0x1af65b1cd00,245,"Call_ReceiverIsNullOrUndefined"
code-creation,Builtin,4,0x1af65b1ce00,245,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,4,0x1af65b1cf00,245,"Call_ReceiverIsAny"
code-creation,Builtin,4,0x1af65b1d000,114,"ConstructFunction"
code-creation,Builtin,4,0x1af65b1d080,254,"ConstructBoundFunction"
code-creation,Builtin,4,0x1af65b1d180,121,"ConstructProxy"
code-creation,Builtin,4,0x1af65b1d200,168,"Construct"
code-creation,Builtin,4,0x1af65b1d2c0,344,"Apply"
code-creation,Builtin,4,0x1af65b1d420,304,"HandleFastApiCall"
